Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,149.000000,155.750000,145.000000,155.529999,155.529999,5690500
2020-08-18,152.679993,154.490005,138.419998,146.229996,146.229996,7441000
2020-08-19,141.580002,149.000000,140.000000,147.059998,147.059998,5328700
2020-08-20,142.929993,148.789993,142.130005,143.130005,143.130005,3727400
2020-08-21,142.380005,145.800003,133.300003,137.619995,137.619995,5660900
2020-08-24,131.559998,132.800003,116.949997,119.260002,119.260002,8483700
2020-08-25,108.010002,117.739998,97.300003,113.110001,113.110001,13008400
2020-08-26,107.000000,122.730003,106.500000,114.620003,114.620003,6988800
2020-08-27,115.300003,116.370003,106.300003,107.349998,107.349998,4827000
2020-08-28,108.099998,110.169998,102.000000,107.739998,107.739998,3217200
2020-08-31,115.500000,118.139999,106.760002,110.339996,110.339996,6236200
2020-09-01,108.220001,110.290001,102.300003,105.080002,105.080002,4817800
2020-09-02,99.559998,105.339996,94.180000,102.900002,102.900002,6355200
2020-09-03,112.809998,113.980003,102.599998,102.980003,102.980003,7538300
2020-09-04,100.940002,104.470001,86.660004,92.930000,92.930000,7674000
2020-09-08,86.400002,92.400002,83.220001,85.309998,85.309998,5625700
2020-09-09,88.209999,91.889999,86.209999,90.839996,90.839996,3780500
2020-09-10,92.830002,99.410004,90.250000,92.860001,92.860001,4656600
2020-09-11,94.000000,97.980003,92.099998,95.449997,95.449997,5303400
2020-09-14,96.379997,106.400002,94.250000,105.800003,105.800003,7979000
2020-09-15,110.000000,112.250000,106.160004,110.339996,110.339996,6779500
2020-09-16,108.089996,126.540001,108.000000,120.129997,120.129997,10805500
2020-09-17,119.000000,125.989998,112.110001,115.510002,115.510002,5531300
2020-09-18,114.940002,114.940002,104.779999,108.360001,108.360001,5820800
2020-09-21,102.500000,110.599998,102.099998,110.150002,110.150002,3241200
2020-09-22,109.750000,112.400002,106.160004,111.629997,111.629997,2407200
2020-09-23,110.940002,112.180000,101.150002,101.570000,101.570000,3216800
2020-09-24,98.430000,107.199997,96.480003,102.440002,102.440002,3337200
2020-09-25,107.480003,117.349998,105.800003,113.559998,113.559998,8336900
2020-09-28,116.900002,117.879997,106.400002,111.180000,111.180000,6169800
2020-09-29,107.790001,109.739998,105.099998,107.949997,107.949997,3212000
2020-09-30,107.000000,116.250000,107.000000,108.349998,108.349998,4848700
2020-10-01,109.220001,109.449997,103.099998,104.900002,104.900002,3704500
2020-10-02,101.699997,107.989998,100.220001,103.599998,103.599998,2731800
2020-10-05,105.129997,110.709999,104.099998,110.169998,110.169998,3210200
2020-10-06,109.199997,113.080002,106.220001,107.410004,107.410004,2492000
2020-10-07,108.300003,110.400002,107.449997,110.000000,110.000000,1862600
2020-10-08,110.949997,114.349998,109.199997,111.019997,111.019997,2352600
2020-10-09,112.300003,115.599998,111.080002,111.220001,111.220001,2421500
2020-10-12,111.250000,112.699997,109.349998,110.220001,110.220001,1788200
2020-10-13,111.410004,120.650002,110.949997,117.279999,117.279999,4425900
2020-10-14,119.230003,121.919998,111.760002,111.760002,111.760002,2443000
2020-10-15,110.269997,112.949997,106.540001,111.419998,111.419998,2297400
2020-10-16,111.680000,112.500000,106.010002,107.040001,107.040001,2118300
2020-10-19,107.800003,108.199997,100.370003,102.050003,102.050003,2708300
2020-10-20,102.699997,103.500000,95.800003,98.360001,98.360001,4039200
2020-10-21,97.029999,98.050003,90.000000,91.160004,91.160004,3398700
